serial,ASIC test result,baseline_channel_0,baseline_channel_1,baseline_channel_2,baseline_channel_3,baseline_channel_4,baseline_channel_5,baseline_channel_6,baseline_channel_7,s-curve_halfmax_channel_0,s-curve_halfmax_channel_1,s-curve_halfmax_channel_2,s-curve_halfmax_channel_3,s-curve_halfmax_channel_4,s-curve_halfmax_channel_5,s-curve_halfmax_channel_6,s-curve_halfmax_channel_7,s-curve_sigma_channel_0,s-curve_sigma_channel_1,s-curve_sigma_channel_2,s-curve_sigma_channel_3,s-curve_sigma_channel_4,s-curve_sigma_channel_5,s-curve_sigma_channel_6,s-curve_sigma_channel_7,s-curve_chi2ndf_channel_0,s-curve_chi2ndf_channel_1,s-curve_chi2ndf_channel_2,s-curve_chi2ndf_channel_3,s-curve_chi2ndf_channel_4,s-curve_chi2ndf_channel_5,s-curve_chi2ndf_channel_6,s-curve_chi2ndf_channel_7,Test_passed_channel_0,Test_passed_channel_1,Test_passed_channel_2,Test_passed_channel_3,Test_passed_channel_4,Test_passed_channel_5,Test_passed_channel_6,Test_passed_channel_7
06456,all channels OK,1.991899039266227,0.7789269012390712,10.708333333333334,6.108146593719553,9.006711409395972,7.969157254561251,8.99079754601227,4.408675920273892,26.280024659242322,11.78391005438773,11.644796318624813,12.152606555245681,11.65796639325344,11.703965006808989,12.270605061735075,27.19915191980693,0.38845341850256015,0.20773070685464504,0.19803730801174757,0.334982674720041,0.20356702790111048,0.21749308672167927,0.32043112995990075,0.4435274180346646,80.64632227444586,42.38960221341245,4.252992216717625,4.340328818335116,7.741917076681123,23.55293393898544,2.809946414827724,109.03713139735352,OK,OK,OK,OK,OK,OK,OK,OK
07210,all channels OK,11.981618946624248,2.050318918556821,4.94949494949495,5.915433403805497,2.9615384615384617,13.98841082017817,0.9932975871313673,-1.7632685233841303,26.444670333246528,13.584864922562936,12.418250690150101,12.476630007378956,11.17790191541434,12.543001341986324,12.908831214508757,28.61473570692376,0.33819568258270466,0.28338080463217774,0.24283916037527603,0.2440156066006049,0.3382789483010394,0.2399553038356287,0.2336431886778427,0.34855116348819903,104.55235159994537,15.986322726991627,0.2521363697878396,1.558732281202341,3.5251675390810853,7.038176285521597,24.926373045781233,132.41606449807406,OK,OK,OK,OK,OK,OK,OK,OK
06457,channel 0 s-curve failed channel 1 s-curve  out of range channel 2 s-curve failed channel 3 s-curve failed channel 4 s-curve failed channel 5 s-curve failed channel 6 s-curve failed channel 7 s-curve failed ,7.0,nan,nan,nan,nan,7.25,12.155172413793103,nan,164.09102420880862,559.017493293168,1616.3549807742795,1504.38268459798,1504.38268459798,1611.5388793567038,1614.6616289684139,1621.569601053935,1.9909818861482442,2.130658046044431,60.50420833880161,26.264692725283908,26.264692725283908,40.37235812682252,57.09096920566506,17.07043892826527,2379373.7543455805,41.73211067706802,158621.76689630025,159734.12418021413,25945520374.82296,158998.9362947862,158664.13868594705,158507.41680072472,s-curve fit failed,s-curve fit out of range,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed
06457,all channels OK,5.021814006888634,4.1286759072229575,7.946105702364395,14.956018099547512,-5.004115226337449,6.918770636903491,11.06588999236058,6.865720811363849,27.095392453764322,12.146013338130897,11.842255078819534,11.807935644250819,12.193699828506233,11.862284440479767,12.843182066815764,27.414578184571592,0.38469234535344016,0.34447675833105407,0.19119450222515283,0.2035279010682567,0.3093666024335276,0.2410087577992341,0.24262946165434104,0.41479003336519993,95.66666567075542,11.704778789048238,20.947049156590705,22.233320683842972,1.043274247000022,25.716588760951975,42.96407456310441,135.5153705444452,OK,OK,OK,OK,OK,OK,OK,OK
06458,all channels OK,7.047526383781397,5.066619003904443,5.009357151193774,5.009553578764468,5.009357491614294,5.009357278702323,5.01610880335346,5.563759624011703,20.232730193086876,11.40008991246037,14.43184410811589,11.382052292084984,11.29378653124856,11.342864446563134,11.461837464307605,23.050620099097717,0.4201502520585153,0.34090392342187126,0.27139699157205477,0.43021205941184515,0.3505192646668242,0.4981993524404795,0.47432230403605113,0.4358079924652104,91.6032294013547,12.469882086317877,5.120580630722997,6.272440892173857,7.303689077518752,23.711608862294028,29.844418246533174,127.14682617178688,OK,OK,OK,OK,OK,OK,OK,OK
06459,channel 4 s-curve failed ,7.996416998664113,7.996416998763276,7.994839490774008,7.98115840993305,8.166495464432538,7.996423373320252,7.996297915627447,7.9964187177398225,28.34869895424659,13.348566793951832,16.290161346776404,16.469318609890884,8.847892684218992,10.967633295377079,14.262192892554456,29.554192704541613,0.41392362702876945,0.34338455932200806,0.3011472433843162,0.29958152887433365,0.4335029993308571,0.034583767454409164,0.37169318896104503,0.45220686091261475,105.88083616264603,12.758023342077115,3.0124427603939177,16.94122609191743,476.2230787871102,39.34782608678433,23.02708693206311,152.93017536674145,OK,OK,OK,OK,s-curve fit failed,OK,OK,OK
06460,all channels OK,1.000149512385742,6.8094354182043135,3.401985111662531,0.9999260300318071,1.0000888524366072,2.3449720478551708,1.046176616349,1.5830233159590976,26.362459728423357,13.134547192009801,8.012482616177675,11.747403758537793,11.799848358726113,9.381922270771252,11.4116359495333,26.843885417851645,0.36737737916588825,0.3850652367843503,0.04566118066573519,0.15778837006867472,0.13267340094486657,0.29861014070130765,0.24044565845880378,0.36778719673116395,85.00738855701483,15.954772787558083,4.417494817757639e-50,2.7639919139552838,1.5354373436381936,2.014674055562994,66.6051910512483,145.51042448925506,OK,OK,OK,OK,OK,OK,OK,OK
06455,all channels OK,10.520788881008524,10.482199495142718,-0.27058823529411763,-0.9887820512820513,10.521960458871758,10.521963479975106,10.49692267189693,-2.3366591236371117,32.15531742813279,13.603141301120335,13.882205659641256,14.327529230165306,13.779037053683217,13.769511765995993,18.34695822355473,32.338507386982485,0.43621676507001,0.21156662056095432,0.18069409694138353,0.2944397496788881,0.15054311627800035,0.16018206421331185,0.2907349734343836,0.4335856541917254,118.55560620982787,2.311265666610315,18.620345454938157,1.254186245127076,5.818905836322977,14.770990006577767,2.769231845799906,167.90330351577776,OK,OK,OK,OK,OK,OK,OK,OK
06454,all channels OK,6.0,7.020140439439537,-1.5,8.000948766603415,7.0,11.019572953736654,2.0,10.943912448700411,28.873462642825373,12.616794595465812,12.456175898123579,12.35457357644622,11.973455936379525,12.133158755771312,12.833537787838251,29.14809683147659,0.32035241453462243,0.22516829296800475,0.25075967651431075,0.28188090346388434,0.262787187243697,0.32858377203652006,0.19497876414880458,0.4346216758126931,147.8186880647931,22.743753639959724,0.17374692092997812,0.5712405238680899,17.49697569348901,3.7512655571154276,26.183113720151017,149.62433416053062,OK,OK,OK,OK,OK,OK,OK,OK
06453,all channels OK,7.0,1.9983583728854626,1.3103448275862069,6.0,5.157894736842105,3.445243804956035,11.993527508090615,4.1701415701415705,27.325888750037272,11.53683740770613,11.883089887917196,12.26826332227138,11.626231736556047,11.909511280192048,14.270867943621965,17.374258794764295,0.4971815655320533,0.2439408059127407,0.12964420882371666,0.3212281220270605,0.1879960535627644,0.23583149710657927,0.2911455857525278,0.2844317613381105,101.08218907069254,11.653464493104297,20.02023027043829,3.3944375580378754,1.3568135857117174,33.80262579610307,77.6528226546799,197.29364369129246,OK,OK,OK,OK,OK,OK,OK,OK
07148,channel 0 s-curve  out of range channel 1 s-curve failed channel 2 s-curve failed channel 3 s-curve  out of range channel 4 s-curve  out of range channel 5 s-curve failed channel 6 s-curve failed channel 7 s-curve failed ,nan,8.56154410588779,12.052924395057195,nan,nan,9.878739377976293,9.879175639690192,9.879176491748504,5.895326597527372,6.089871945751424,6.089871945751424,20.0,20.0,20.0,20.0,20.0,0.0393303449402886,0.09191060878998493,0.09191060878998493,1.0,1.0,1.0,1.0,1.0,3.3880554388577653e-109,397.39130434782606,1825.0,0.0,1.6304347826086953,5361.413043478261,4881.413043478261,17712.391304347828,s-curve fit out of range,s-curve fit failed,s-curve fit failed,s-curve fit out of range,s-curve fit out of range,s-curve fit failed,s-curve fit failed,s-curve fit failed
07148,channel 1 s-curve failed channel 2 s-curve failed channel 4 s-curve failed channel 6 s-curve failed channel 7 s-curve failed ,9.488851269911642,9.464617239676882,9.536411729491617,9.488851271120879,12.999977168254741,9.488851271120879,9.488851486839911,9.488851271120879,30.44703296745339,15.319276109646278,30.337725593583524,15.108322309256394,16.949221242437897,15.972848547067041,14.609026513609345,30.766512511669216,0.37683157148944874,0.9749305338083571,0.5728783972302194,0.23018143037915348,0.01063278860835423,0.02921079756090778,0.45301911463227773,0.22180477681654778,110.82946526338428,2581.1640013964725,249.79198926355014,143.0658906077709,313050.28788619424,48.073272502323896,566.5138723416638,210.69397057621276,OK,s-curve fit failed,s-curve fit failed,OK,s-curve fit failed,OK,s-curve fit failed,s-curve fit failed
07147,channel 2 s-curve failed channel 7 s-curve failed ,7.988821723104665,7.368137899626864,7.17052549412249,7.982779721840822,7.985984989973852,7.976408804391706,7.977038352129441,7.9718096017704845,26.392537784987816,12.70245397039341,1.819403902039042,11.588131862090284,10.649662546869818,14.414158387923804,15.16219395562287,32.41343016562284,0.6236736505685436,0.2587329325198955,9.812989410855323,0.21839321723894048,0.28704250988309926,0.3365934732833086,0.3326252377127649,0.48267807948778085,23.109852679946144,34.486876152901125,1501181.3043933467,27.064562215745035,13.269527087809266,20.16982835259806,21.299295987937704,393.03572746992324,OK,OK,s-curve fit failed,OK,OK,OK,OK,s-curve fit failed
07146,all channels OK,10.879021810200456,8.271721850797615,10.622432597937802,11.234286891289617,11.079612489626886,11.204060972654199,10.767741835581226,11.656234340617443,29.192097136284435,14.050939102547948,14.827523233404204,12.095874980633562,13.236036351808442,12.587936205729628,14.1619397128237,27.217548443543908,0.42362270604691205,0.30558338921546835,0.10659124894369419,0.30291260939238085,0.25500139432960617,0.39186361510815565,0.27398206555941246,0.46288500546447436,96.58569106593414,6.441202963436006,6.399217220261483,5.2909711761058755,0.2455080672824727,168.05339624640487,55.361843222251586,142.20998347508817,OK,OK,OK,OK,OK,OK,OK,OK
07201,channel 2 s-curve failed ,5.789275261406524,0.6093005915685804,6.769526441468292,5.482766778790746,6.794710681377217,5.531686801870689,5.531405680555285,5.4422607681171575,23.65506478534455,15.576007135536887,8.728085412365944,12.652578389341016,7.848067478272687,12.242682781083106,13.556017806997314,29.747225005650577,0.29838506025459693,0.21031579262867217,0.4020582549248601,0.33698344095303273,0.3270388896192493,0.3734920624731479,0.20647579004031844,0.33272606853157927,114.18346834374097,18.3941878687057,456.6873766549666,34.21560183635738,0.1585159959160992,19.469401475052017,0.3385687558516722,171.0665764530605,OK,OK,s-curve fit failed,OK,OK,OK,OK,OK
07202,channel 0 s-curve failed channel 2 s-curve failed channel 6 s-curve failed ,5.978407851481062,7.305113298608536,6.618363228487529,13.0,9.607142857142858,6.943259891672942,6.766732841817888,6.910039474199024,31.11572410716762,10.690858836772398,10.690858836772398,20.0,19.9999999968555,10.63741727015925,30.230184889030213,30.285832113626196,0.5898867092354311,0.20138533209387896,0.20138533209387896,1.0,1.0000000055294147,0.2315402431881492,0.4280347698773179,0.44589135729511287,305.1555667778813,48.043665129167216,6086.176819368695,0.0,3.7274179035237205e-35,25.159489790905543,241.11284280240315,199.16493640832445,s-curve fit failed,OK,s-curve fit failed,OK,OK,OK,s-curve fit failed,OK
07203,channel 0 s-curve failed channel 1 s-curve failed channel 2 s-curve failed channel 3 s-curve failed channel 4 s-curve failed channel 5 s-curve failed channel 6 s-curve failed channel 7 s-curve failed ,8.983296552243262,9.719371034961801,8.872129515438383,8.960780240074984,8.848369728937968,11.261304742304976,8.607670598453602,9.286648977714094,7.555744629596798,7.531020160899226,7.551404858384353,7.551209590943977,7.55154192292088,7.525430589557479,7.545700961513114,7.557021810996759,0.1834928908055091,0.1764573560898982,0.183876704778018,0.18381582523701162,0.18317254108922398,0.17442949261270466,0.18454969250886777,0.18396226503420765,22205.426996036727,4211.192456034053,6090.318177930574,6490.861713222316,4704.231771028053,2023.258407595772,29136.838350155187,28522.926557403924,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed,s-curve fit failed
07203,channel 2 s-curve failed channel 6 s-curve failed ,1.6904295976925696,4.384700854330942,3.3657329201837802,1.742389692961978,1.8866168266209504,2.277210788136216,1.7046973430546244,1.7044759768680289,29.1361803423451,10.876439851617999,16.258716844231326,11.939962345279227,10.950304619028525,8.338708531772241,14.339967224366546,32.04560845478274,0.39140403259875334,0.14923732365602557,5.059711823048355,0.02816334202200112,0.026213136641675936,0.10869119311836055,0.47466836998665224,0.4578826279084601,80.2634911993263,39.05436404419618,160210.91242468153,47.010621710288135,0.21739130434781886,1.868563786273017e-14,553.5054764025427,147.02639371997063,OK,OK,s-curve fit failed,OK,OK,OK,s-curve fit failed,OK
07204,channel 0 s-curve  out of range channel 1 s-curve  out of range channel 2 s-curve  out of range channel 3 s-curve  out of range channel 4 s-curve  out of range channel 5 s-curve  out of range channel 6 s-curve  out of range channel 7 s-curve  out of range ,nan,nan,nan,nan,nan,nan,1.9166666666666667,nan,20.0,20.0,20.0,20.0,20.0,20.0,-913.792677359092,20.0,1.0,1.0,1.0,1.0,1.0,1.0,660.7332835254114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3826371244946771,0.0,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range
07204,channel 0 s-curve  out of range channel 1 s-curve  out of range channel 2 s-curve  out of range channel 3 s-curve  out of range channel 4 s-curve  out of range channel 5 s-curve  out of range channel 6 s-curve  out of range channel 7 s-curve  out of range ,nan,nan,nan,nan,nan,nan,nan,nan,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range,s-curve fit out of range
07205,all channels OK,5.140772910013139,4.990004542717475,6.0026231573213495,5.37198356698731,4.9896646320037075,5.257567869558924,4.998952471594771,4.819168951067615,24.55931112944051,12.163591728494298,7.888752372935347,10.003724525678717,12.887123586608674,8.71238619099039,9.345580539391472,31.926365101374497,0.34876892853451774,0.33060774521752156,0.36619697996619566,0.23831664105315942,0.15718171318079416,0.3208369686101868,0.2637503020807231,0.45304870691726346,116.02525600128956,6.943653102633517,1.4388318214903195,7.506573054849059,13.78410578705419,3.296125937249044,0.06541318054299873,192.0957229915638,OK,OK,OK,OK,OK,OK,OK,OK
06451,channel 4 s-curve failed channel 6 s-curve failed channel 7 s-curve failed ,6.194275030338889,6.255399383073583,5.4841606260023505,6.484688141059275,6.257004285322093,6.313479911102231,6.253825550611793,6.094037372600794,31.04195158836629,13.035489379526862,15.306567843862092,10.401142261316547,12.209554151009618,10.634726831785622,13.655536916780529,32.53945226035974,0.443666968912579,0.35942729632145504,0.25259987787764004,0.2748412414341189,0.5554808460518411,0.24539962879616556,0.5355034409266342,0.40802304421607055,133.5363736074282,9.885751481386103,9.031094679392192,6.571402907526845,400.0388518490604,77.91417317236886,5827.464829762456,379.3586942023986,OK,OK,OK,OK,s-curve fit failed,OK,s-curve fit failed,s-curve fit failed
06452,all channels OK,6.000604734020882,6.000618313471657,5.5571300324403445,6.000626986062695,6.0006327659312975,6.00069143370056,6.000628337061261,6.042084263558802,29.95838090294117,12.88434306680998,14.986717650166906,13.278476521689518,10.96869678831396,10.54772483708346,11.987684269589009,25.176805485346947,0.374017057274228,0.24972282504759577,0.3221195633629229,0.289948566351081,0.23154287403482532,0.2712127359478333,0.31160813082204686,0.4054433318024572,150.80926399368164,25.633821050376497,22.813144242319392,1.9357359616584184,8.850298613383467,2.6803760889220882,15.97007565446896,124.62399665417672,OK,OK,OK,OK,OK,OK,OK,OK
07149,all channels OK,2.0124181181367296,2.0004437953479957,2.9883410437157227,2.99818232558058,2.9817889987526827,2.0098823175059546,13.0,2.0073410525478814,25.88015465427802,12.846750685822181,8.372206581617542,8.731167023353228,8.163328188005377,9.706133815069036,12.999944423686394,32.30176952596954,0.371864491593182,0.19264957014407955,0.30880455971192217,0.27559517012651474,0.3142873090554351,0.3103455856101853,0.3022804227087574,0.46860894389893626,142.5001281594827,49.86715339919215,1.4629828611628117,2.5904134057933583,0.4992405789153079,13.98130306619987,81.1534083074081,166.9891026074402,OK,OK,OK,OK,OK,OK,OK,OK
07150,all channels OK,13.002059732234809,3.932009587610967,6.053497942386831,11.0,8.088461538461539,10.193971468016567,12.765432098765432,6.039844569172886,28.313255213566254,12.868356086998391,12.71392829194968,12.864257918957906,12.569340049009334,12.86496618959777,12.836267681259,29.250457797161936,0.4000641968846031,0.19380663574948642,0.1714071786061492,0.09441331997098974,0.2066708489216526,0.1834034624049941,0.14394595781784375,0.4348508945854576,93.25676232338346,51.19891563536062,10.784913336840628,24.56720316794566,1.2524357888216955,42.29108770842864,29.039311998841555,122.46442233064252,OK,OK,OK,OK,OK,OK,OK,OK
